 22 3593.744829 1.500E-27 2.165E+01.08620.118 2652.85450.69-.003579       3 0 0 12       2 0 0 02                    P  4e     3666632431 9 9 711    14.0   18.0
 22 3593.745345 4.410E-30 8.796E-02.07250.097 3083.03990.71-.003881       1 1 1 21       0 1 1 11                    Q 20e     3666632431 9 9 711    82.0   82.0
 21 3593.747106 1.414E-29 1.523E-04.06760.082 2584.44300.75-.004582       2 1 1 12       0 3 3 01                    P 38f     3666632429 9 9 711    75.0   77.0
 21 3593.747461 1.099E-30 2.012E-02.06590.075 4163.32440.74-.003716       4 2 2 02       1 3 3 02                    P 48f     3665632429 9 9 711    95.0   97.0
 21 3593.752908 1.355E-25 1.046E+01.06700.079 3015.40590.75-.004860       1 0 0 22       0 0 0 11                    R 41e     4665632429 9 9 711    85.0   83.0
 21 3593.758768 2.080E-30 1.211E-04.07020.092 2860.09730.73-.003191       4 1 1 02       1 2 2 02                    Q 26e     3666632429 9 9 711    53.0   53.0
 23 3593.762495 3.713E-23 7.261E+00.06800.084  463.72400.74-.004559       1 0 0 12       0 0 0 01                    R 35e     3766632432 9 9 711    73.0   71.0
 22 3593.766512 7.270E-28 1.638E+01.06800.084 3221.08240.74-.004578       2 2 2 11       1 2 2 01                    P 36e     3666632431 9 9 711   142.0  146.0
 24 3593.766701 4.990E-28 8.020E+00.06420.070 2541.64700.73-.005457       2 0 0 12       1 0 0 01                    R 55e     4755532432 9 9 711   678.0  666.0
 11 3593.767473 1.276E-29 1.172E+00.08990.371 4190.26220.71-.001880          2 0 0          1 0 0  6  2  4        6  1  5      734223807294713152    13.0   13.0
 23 3593.773552 1.695E-28 8.796E-04.06810.084 1126.62040.74-.004598       0 3 3 11       0 1 1 01                    P 35e     3666632432 9 9 711    69.0   71.0
 24 3593.783441 1.656E-29 8.848E+00.05920.065 3313.78160.68-.005492       2 0 0 12       1 0 0 02                    P 73e     4755532432 9 9 711   870.0  882.0
 24 3593.784634 4.646E-27 6.295E+00.06290.069 2050.28130.71-.005641       1 1 1 12       0 1 1 01                    R 60e     4755532432 9 9 711   738.0  726.0
